comment,author,date,score
1:11 amazing how missing features that previously game had is in the trailer,Ivan Galvagno,2022-05-12T13:06:58Z,0.129
How tf they managed to screw this up?,Rbarzevedo,2022-05-12T12:35:43Z,0.167
Still a weird choice to put a remix of kickstart my heart for this trailer,Some Turkey Nuts,2022-05-11T21:27:56Z,0.09
Im still waiting for the full game to come out.,Dozer,2022-05-11T13:57:38Z,0.0
"My dads generation had Bad Company. 
My generation has to wonder how tf you can be such a bad company.",Leadkiss,2022-05-11T12:21:19Z,0.28
"So much potential, thrown to the wind by its creators.",Julio Víctor Manuel Schaeffer Manrique,2022-05-11T04:09:50Z,0.0
Failure Game.,SoldadoPlayer7 ™,2022-05-10T19:13:13Z,0.767
Why are we still here...,Adriano Collinzo,2022-05-10T11:48:43Z,0.0
Battlefield 1942 + Battlefield 2142 = battlefield 2042,ThePr3stol Man,2022-05-10T10:25:02Z,0.609
I just can't seem to stop rewatching it..   im Baffle of what we recieve...,BROCKLY,2022-05-10T04:55:01Z,0.0
This is so cool,mclutt,2022-05-10T04:10:23Z,0.0
I'm still waiting for them to tell us that it was all a joke and give us the real game that appears in this video.,MARCOS MORRINSON,2022-05-09T21:16:06Z,0.0
"Honestly this trailer is pretty accurate because it just shows a bunch of the AI playermodels running around, not specialists. Means they knew from the start there wouldn't be any real players.",Adelic,2022-05-09T20:15:00Z,0.0
Probably the best video game ad I have ever seen…But the final product has got to be the worst video game I have ever seen,Mr.805,2022-05-09T17:55:01Z,0.131
"It never fails to amuse me to come back every few weeks to see poor fools who hyped themselves up and proudly proclaimed they preordered this indie horror game. Really makes you breathe a sigh of relief that you didn’t buy in to blatant corporate lies and false advertising. Since BFV I learned not to preorder AAA titles, it’s sad some people learn slower than others.",Cholera PHD,2022-05-09T13:32:06Z,0.215
"Well... in BF2042, u can use custom atatchments to ur gun were u using",GH0ST_699,2022-05-09T13:29:58Z,0.145
Dont forget they called a scoreboard a feature LMAO,KRIZULA11,2022-05-09T10:05:34Z,0.0
"They didn't do campaign mode just so they can focus all their energy, attention, and money on a 5 minute delusional trailer.",Andres Patino,2022-05-09T07:49:29Z,0.0
Biggest scam in the bf history,Khang Nguyen,2022-05-09T00:02:47Z,0.425
Guys is bf 5 good now,Omar Hanan,2022-05-08T18:44:58Z,0.0
"Can believe this was almost 1 year ago
The hype was crazy back then",N0VAK,2022-05-08T06:03:22Z,0.156
I called it from day one that this game will suck but everyone called me a madman,DeadlyPants,2022-05-08T03:23:36Z,0.109
Those are some cool looking soldiers. I surely hope they weren't replaced by cringe specialists in the final game.,Very Unusual Times,2022-05-07T21:51:21Z,0.0
Don't worry boys modern warfare 2  is around the corner,mr What it iss,2022-05-07T20:49:20Z,0.175
They should've made BF 2142 instead. Something starcitizen like,OfficialAdub,2022-05-07T18:49:37Z,0.0
What happened to all that rendezvous hype or what is it the kids calling it?!,Masamuno Freddy,2022-05-07T17:48:40Z,0.0
"Battlefield 4: You had such promise. You could’ve been my successor, my equal, but now…",Striker Echo,2022-05-07T13:44:08Z,0.107
İn Battlefield 2042: tanks shots everywhere. But reality  in 2020: İn Karabakh war Azerbaijan used drones and Bayraktars defeat all of the armenian army 😂😂😂,hsn tlbv,2022-05-07T11:17:49Z,0.285
It was a dream too good to come true.,Sparky,2022-05-07T07:39:16Z,0.0
I’m still waiting for this to come out 😂,HT-Sneakers,2022-05-07T00:39:43Z,0.114
Good joke. so much of IT  in this Game,Mr RadyKane,2022-05-06T17:05:18Z,0.0
Battlefield 2077,XIVMarce,2022-05-06T10:56:11Z,0.722
Man this looks like a good game. Too bad EA didn't make it and made some garbage instead,Alexander Muto,2022-05-06T07:47:42Z,0.146
Why are we here... Just to suffer...,Daniel L,2022-05-05T20:50:11Z,0.368
The best trailer ever,Thales,2022-05-05T16:21:25Z,0.0
This ain't Mw II !,Tartaglia Iruma,2022-05-05T01:47:06Z,0.0
IT HAD SO MUCH POTENTIAL!,Daddy bondrewd,2022-05-04T23:34:15Z,0.0
What u waiting for to buy it master peace papa😎✌️,Danyflow1 beats,2022-05-04T11:44:53Z,0.0
Hope this doesn't turn out another cyberpunk 2077,Tech Wizard,2022-05-03T17:52:42Z,0.0
every week I come here to watch this trailer and feel a little pain,xD,2022-05-03T09:00:03Z,0.188
Operators and lack of weapons ruined the game,OvePowned,2022-05-03T00:36:12Z,0.624
So much potential.,- Gibby,2022-05-02T23:48:37Z,0.0
Reality is often disappointing,Arjun Mishra,2022-05-02T23:33:20Z,0.516
YOU WERE THE CHOSEN ONE!...,Michael De Santa,2022-05-02T21:02:41Z,0.0
they had the audacity to include the redezook homage but the final product spits on the very name of battlefield,calebgusto12,2022-05-02T20:07:05Z,0.167
phantom forces plays/looks better than this,calebgusto12,2022-05-02T20:05:43Z,0.0
Will bugs be fixed until 2042? :),Erdem Ali Yıldırım,2022-05-02T18:54:01Z,0.0
The only love letter from DICE was this trailer. And that's it,Maxim Olehash,2022-05-02T17:32:34Z,0.0
Shout out to my 10 month old self for not pre ordering this game,Just John,2022-05-01T16:01:26Z,0.0
This game was better when we were waiting for it,Filthy Hilthy,2022-05-01T08:45:16Z,0.0
Oh how lied to we were...,xxZozanxx,2022-05-01T02:54:41Z,0.342
"The most unrealistic thing about this game is Russia having a competent military able to contest to the USA, especially in the year 2042",Cyan Productions,2022-05-01T01:14:23Z,0.0
YouTube removed dislikes just for DICE,Anton Ca'Botta,2022-04-30T17:04:15Z,0.351
I'm just taking my like back,VNT XCVII,2022-04-29T21:48:19Z,0.0
This game fell harder then that Condor at the beginning,Xenopath,2022-04-29T17:14:03Z,0.0
"The Trailer: Masterpiece
The Game: Garbage",Pneumonoultramicroscopicsilicovolcanoconiosis,2022-04-29T13:21:48Z,0.0
So disappointing to come back and watch this. I'm still having goosies watching this.,Casey,2022-04-28T23:46:34Z,0.212
came back after MIIW teaser 👀,Prinzessin Leia im hurensohnkostüm,2022-04-28T19:23:17Z,0.286
0:28 Bruh this dude was chill trying to give him a Thumbs up... That Air Vehicle did him harsh.,Usual_StoryTexter,2022-04-28T11:53:54Z,0.139
Ukraine now:,lilnoobic [GD],2022-04-28T07:06:27Z,0.0
This is sad,yeeeyye1234,2022-04-28T04:57:00Z,0.608
Gr8,Wella Casabar,2022-04-28T04:27:16Z,0.0
Man this hurts to watch…,Marc Flamer,2022-04-28T02:56:51Z,0.437
"I just hope people will remember this as a good game after a few years or something ( like how battlefield 4 did) at this point , this is just sad for me",Battlefield4TVmissilebug,2022-04-26T14:37:42Z,0.136
1:11 DICE WHAT THE F*** WE WANT TO PLAY AS THESE GUYS,Walnut Bread,2022-04-26T10:51:44Z,0.0
Loved the fighter rocket launcher scene ❤️,Yash Verma,2022-04-26T10:03:55Z,0.0
On 1:05 it's so eerie with the music just soldiers tryna find the enemy taking it slow all spread out then the enemy comes out of no where and annihilates them and slaughters them,Jimmy Lawrence,2022-04-26T02:01:46Z,0.293
RIP BF2042,Godless k53GentalGiant187,2022-04-25T23:19:41Z,0.0
"THERE IS NO WAY HE JUMPED OUT OF HIS SEAT, DID A 360 FLIP AND NOSCOPED THE GUY WITH A ROCKET LAUNCHER. THE GUY EVEN FLEW BACK INTO HIS SEAT, WHAAAAT!!
3:10",Bryan~Plays,2022-04-25T08:41:14Z,0.102
the guys who made the trailer clearly know Battlefield better than DICE,hieu nguyen,2022-04-25T00:24:51Z,0.151
What could of been 🥺,Sean Mack,2022-04-24T22:25:21Z,0.0
Lol I said this game would be trash and people called me a hater. Glad to see I was right :),That's a Toilet,2022-04-24T22:23:34Z,0.098
When will THAT game be released?,TK PL,2022-04-24T21:12:54Z,0.0
This is honestly one of the best trailers for one of the biggest failures in gaming history.,hudsondzc,2022-04-24T21:10:12Z,0.124
"Trailers and games are good every time.
But bf2042 is good only trailer",Sturm geschutz,2022-04-24T14:23:09Z,0.0
2:40 = 20 kill streak moment,SPLOOTZ Gaming,2022-04-24T10:19:56Z,0.485
where is my money ?,Try,2022-04-24T03:25:19Z,0.0
It's Really sad to see the current state of battlefield.This game really did have alot of potential.,Sina AJ,2022-04-23T23:23:07Z,0.175
You were the chosen one!,Erick V,2022-04-23T19:15:06Z,0.0
God what a disappointment,Locus,2022-04-23T18:26:58Z,0.446
2023 BattleField Russia VS  Ukraine?,BlackClover_,2022-04-23T16:07:36Z,0.394
"Show only, nothing else.",Katakali,2022-04-23T12:34:29Z,0.0
Dudes didn’t even have enough gadgets to make normal classes,Fmanjones,2022-04-23T08:44:00Z,0.0
"We already got amazing trailer with disappointing game, now WHERE is the game that has disappointing trailer with amazing gameplay?",Haha brrrrr,2022-04-22T14:41:27Z,0.213
